##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(транзит);;;x
PROV260;Stalino;Stalino;Stalino;Stalino;Stalino;Stalino;;Беловодск;;;X
PROV261;Alekseevka;Alekseevka;Alekseevka;Alekseevka;Alekseevka;Alekseevka;;Россошь;;;X
PROV262;Staryj Oskol;Staryj Oskol;Staryj Oskol;Staryj Oskol;Staryj Oskol;Staryj Oskol;;Острогожск;;;X
PROV263;Rossos;Rossos;Rossos;Rossos;Rossos;Rossos;;Свобода;;;X
PROV264;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;;Павловск;;;X
PROV265;Sahty;Sahty;Sahty;Sahty;Sahty;Sahty;;Богучар;;;X
PROV266;Kup'вns'k;Kup'вns'k;Kup'вns'k;Kup'вns'k;Kup'вns'k;Kup'вns'k;;Кашары;;;X
PROV267;Proskuriv;Proskuriv;Proskuriv;Proskuriv;Proskuriv;Proskuriv;;Боковская;;;X
PROV268;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;;Шахты;;;X
PROV269;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;;Константиновск;;;X
PROV270;Volgodonsk;Volgodonsk;Volgodonsk;Volgodonsk;Volgodonsk;Volgodonsk;;Сальск;;;X
PROV271;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;;Котельниковский;;;X
PROV272;Sluck;Sluck;Sluck;Sluck;Sluck;Sluck;;Жлобин;;;X
PROV273;Luban;Luban;Luban;Luban;Luban;Luban;;Гомель;;;X
PROV274;Homel;Homel;Homel;Homel;Homel;Homel;;Рогачёв;;;X
PROV275;Roslavl';Roslavl';Roslavl';Roslavl';Roslavl';Roslavl';;Рославль;;;X
PROV276;Orлl;Orлl;Orлl;Orлl;Orлl;Orлl;;Клинцы;;;X
PROV277;Klincy;Klincy;Klincy;Klincy;Klincy;Klincy;;Брянск;;;X
PROV278;Livny;Livny;Livny;Livny;Livny;Livny;;Тула;;;X
PROV279;Rjazan';Rjazan';Rjazan';Rjazan';Rjazan';Rjazan';;Рязань;;;X
PROV280;Balasov;Balasov;Balasov;Balasov;Balasov;Balasov;;Тамбов;;;X
PROV281;Voronez;Voronez;Voronez;Voronez;Voronez;Voronez;;Липецк;;;X
PROV282;Kursk;Kursk;Kursk;Kursk;Kursk;Kursk;;Орёл;;;X
PROV283;Elec;Elec;Elec;Elec;Elec;Elec;;Воронеж;;;X
PROV284;Lipeck;Lipeck;Lipeck;Lipeck;Lipeck;Lipeck;;Борисоглебск;;;X
PROV285;Safonovo;Safonovo;Safonovo;Safonovo;Safonovo;Safonovo;;Вязьма;;;X
PROV286;Nelidovo;Nelidovo;Nelidovo;Nelidovo;Nelidovo;Nelidovo;;Торопец;;;X
PROV287;Malaja Visera;Malaja Visera;Malaja Visera;Malaja Visera;Malaja Visera;Malaja Visera;;Великие Луки;;;X
PROV288;Rzev;Rzev;Rzev;Rzev;Rzev;Rzev;;Ржев;;;X
PROV289;Torzok;Torzok;Torzok;Torzok;Torzok;Torzok;;Демянск;;;X
PROV290;Цresund;Цresund;Цresund;Цresund;Цresund;Цresund;;Олесунн;;;X
PROV291;Karlovac;Karlovac;Karlovac;Karlovac;Karlovac;Karlovac;;;;;X
PROV292;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;;Ольборг;;;X
PROV293;Odense;Odense;Odense;Odense;Odense;Odense;;Оденсе;;;X
PROV294;Kobenhavn;Kobenhavn;Kobenhavn;Kobenhavn;Kobenhavn;Kobenhavn;;Копенгаген;;;X
PROV295;Ronne;Ronne;Ronne;Ronne;Ronne;Ronne;;Борнхольм;;;X
PROV296;Rostock;Rostock;Rostock;Rostock;Rostock;Rostock;;Росток;;;X
PROV297;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Neuruppin;;Вольфсбург;;;X
PROV298;Halle;Halle;Halle;Halle;Halle;Halle;;Магдебург;;;X
PROV299;Potsdam;Potsdam;Potsdam;Potsdam;Potsdam;Potsdam;;Потсдам;;;X
PROV300;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;;Берлин;;;X
PROV301;Stralsund;Stralsund;Stralsund;Stralsund;Stralsund;Stralsund;;Штральзунд;;;X
PROV302;Stettin;Stettin;Stettin;Stettin;Stettin;Stettin;;Штеттин;;;X
PROV303;Danzig;Danzig;Danzig;Danzig;Danzig;Danzig;;Данциг;;;X
PROV304;Elbing;Elbing;Elbing;Elbing;Elbing;Elbing;;Эльбинг;;;X
PROV305;Plock;Plock;Plock;Plock;Plock;Pіock;;Торунь;;;X
PROV306;Gdynia;Gdynia;Gdynia;Gdynia;Gdynia;Gdynia;;Быгдощ;;;X
PROV307;Torun;Torun;Torun;Torun;Torun;Toruс;;Познань;;;X
PROV308;Meseritz;Meseritz;Meseritz;Meseritz;Meseritz;Meseritz;;Кюстрин;;;X
PROV309;Cottbus;Cottbus;Cottbus;Cottbus;Cottbus;Cottbus;;Коттбус;;;X
PROV310;Leipzig;Leipzig;Leipzig;Leipzig;Leipzig;Leipzig;;Лейпциг;;;X
PROV311;Dresden;Dresden;Dresden;Dresden;Dresden;Dresden;;Дрезден;;;X
PROV312;Nьrnberg;Nьrnberg;Nьrnberg;Nьrnberg;Nьrnberg;Nьrnberg;;Нюрнберг;;;X
PROV313;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;;Франкфурт-на-Майне;;;X
PROV314;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Stuttgart;;Штутгарт;;;X
PROV315;Freiburg im Breisgau;Freiburg im Breisgau;Freiburg im Breisgau;Freiburg im Breisgau;Freiburg im Breisgau;Freiburg im Breisgau;;Фрайбург;;;X
PROV316;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Mulhouse;;Мюлуз;;;X
PROV317;Йpinal;Йpinal;Йpinal;Йpinal;Йpinal;Йpinal;;Шомон;;;X
PROV318;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;;Дижон;;;X
PROV319;Saint-Йtienne;Saint-Йtienne;Saint-Йtienne;Saint-Йtienne;Saint-Йtienne;Saint-Йtienne;;Шалон-сюр-Сон;;;X
PROV320;Chвteauroux;Chвteauroux;Chвteauroux;Chвteauroux;Chвteauroux;Chвteauroux;;Виши;;;X
PROV321;Limoges;Limoges;Limoges;Limoges;Limoges;Limoges;;Шатору;;;X
PROV322;Pйrigueux;Pйrigueux;Pйrigueux;Pйrigueux;Pйrigueux;Pйrigueux;;Лимож;;;X
PROV323;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;;Ла-Рошель;;;X
PROV324;Montauban;Montauban;Montauban;Montauban;Montauban;Montauban;;Бержерак;;;X
PROV325;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;;Бордо;;;X
PROV326;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;;Дакс;;;X
PROV327;Auch;Auch;Auch;Auch;Auch;Auch;;Ош;;;X
PROV328;Foix;Foix;Foix;Foix;Foix;Foix;;По;;;X
PROV329;Huesca;Huesca;Huesca;Huesca;Huesca;Huesca;;Уэска;;;X
PROV330;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Zaragoza;;Сарагоса;;;X
PROV331;Bilbao;Bilbao;Bilbao;Bilbao;Bilbao;Bilbao;;Paнs Vasco;;;X
PROV332;Oviedo;Oviedo;Oviedo;Oviedo;Oviedo;Oviedo;;Овьедо;;;X
PROV333;Burgos;Burgos;Burgos;Burgos;Burgos;Burgos;;Leon;;;X
PROV334;La Coruсa;La Coruсa;La Coruсa;La Coruсa;La Coruсa;La Coruсa;;Ла-Корунья;;;X
PROV335;Porto;Porto;Porto;Porto;Porto;Porto;;Опорто;;;X
PROV336;Lisboa;Lisboa;Lisboa;Lisboa;Lisboa;Lisboa;;Лиссабон;;;X
PROV337;Coimbra;Coimbra;Coimbra;Coimbra;Coimbra;Coimbra;;Гуарда;;;X
PROV338;Cбceres;Cбceres;Cбceres;Cбceres;Cбceres;Cбceres;;Саламанка;;;X
PROV339;Valladolid;Valladolid;Valladolid;Valladolid;Valladolid;Valladolid;;Вальядолид;;;X
PROV340;Soria;Soria;Soria;Soria;Soria;Soria;;Soria;;;X
PROV341;Madrid;Madrid;Madrid;Madrid;Madrid;Madrid;;Мадрид;;;X
PROV342;Toledo;Toledo;Toledo;Toledo;Toledo;Toledo;;Cuenca;;;X
PROV343;Badajoz;Badajoz;Badajoz;Badajoz;Badajoz;Badajoz;;Бадахос;;;X
PROV344;Setъbal;Setъbal;Setъbal;Setъbal;Setъbal;Setъbal;;Эвора;;;X
PROV345;Beja;Beja;Beja;Beja;Beja;Beja;;Фару;;;X
PROV346;Huelva;Huelva;Huelva;Huelva;Huelva;Huelva;;Уэльва;;;X
PROV347;Sevilla;Sevilla;Sevilla;Sevilla;Sevilla;Sevilla;;Севилья;;;X
PROV348;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;;Гибралтар;;;X
PROV349;Mбlaga;Mбlaga;Mбlaga;Mбlaga;Mбlaga;Mбlaga;;Малага;;;X
PROV350;Granada;Granada;Granada;Granada;Granada;Granada;;Альмерия;;;X
PROV351;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;;Хаэн;;;X
PROV352;Murcia;Murcia;Murcia;Murcia;Murcia;Murcia;;Мурсия;;;X
PROV353;Ciudad Real;Ciudad Real;Ciudad Real;Ciudad Real;Ciudad Real;Ciudad Real;;Альбасете;;;X
PROV354;Valencia;Valencia;Valencia;Valencia;Valencia;Valencia;;Валенсия;;;X
PROV355;Castellуn de la Plana;Castellуn de la Plana;Castellуn de la Plana;Castellуn de la Plana;Castellуn de la Plana;Castellуn de la Plana;;Кастельон;;;X
PROV356;Tarragona;Tarragona;Tarragona;Tarragona;Tarragona;Tarragona;;Таррагона;;;X
PROV357;Barcelona;Barcelona;Barcelona;Barcelona;Barcelona;Barcelona;;Барселона;;;X
PROV358;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;;Перпиньян;;;X
PROV359;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;;Тулуза;;;X
PROV360;Vichy;Vichy;Vichy;Vichy;Vichy;Vichy;;Клермон-Ферран;;;X
PROV361;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;;Сент-Этьен;;;X
PROV362;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;;Монпелье;;;X
PROV363;Nоmes;Nоmes;Nоmes;Nоmes;Nоmes;Nоmes;;Ним;;;X
PROV364;Marseille;Marseille;Marseille;Marseille;Marseille;Marseille;;Марсель;;;X
PROV365;Toulon;Toulon;Toulon;Toulon;Toulon;Toulon;;Тулон;;;X
PROV366;Nice;Nice;Nice;Nice;Nice;Nice;;Ницца;;;X
PROV367;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Ajaccio;;Корсика;;;X
PROV368;Genova;Genova;Genova;Genova;Genova;Genova;;Генуя;;;X
PROV369;Parma;Parma;Parma;Parma;Parma;Parma;;Специя;;;X
PROV370;Milano;Milano;Milano;Milano;Milano;Milano;;Милан;;;X
PROV371;Trento;Trento;Trento;Trento;Trento;Trento;;Тренто;;;X
PROV372;Lugano;Lugano;Lugano;Lugano;Lugano;Lugano;;Кур;;;X
PROV373;Bregenz;Bregenz;Bregenz;Bregenz;Bregenz;Bregenz;;Лех;;;X
PROV374;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;;Фридрихсхафен;;;X
PROV375;Regensburg;Regensburg;Regensburg;Regensburg;Regensburg;Regensburg;;Регенсбург;;;X
PROV376;Mьnchen;Mьnchen;Mьnchen;Mьnchen;Mьnchen;Mьnchen;;Мюнхен;;;X
PROV377;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Innsbruck;;Инсбрук;;;X
PROV378;Venezia;Venezia;Venezia;Venezia;Venezia;Venezia;;Венеция;;;X
PROV379;Brescia;Brescia;Brescia;Brescia;Brescia;Brescia;;Феррара;;;X
PROV380;Ljubljana;Ljubljana;Ljubljana;Ljubljana;Ljubljana;Ljubljana;;Любляна;;;X
PROV381;Zara;Zara;Zara;Zara;Zara;Zara;;Риека;;;X
PROV382;Zagreb;Zagreb;Zagreb;Zagreb;Zagreb;Zagreb;;Загреб;;;X
PROV383;Banja Luka;Banja Luka;Banja Luka;Banja Luka;Banja Luka;Banja Luka;;Баня-Лука;;;X
PROV384;Split;Split;Split;Split;Split;Split;;Сплит;;;X
PROV385;Sarajevo;Sarajevo;Sarajevo;Sarajevo;Sarajevo;Sarajevo;;Зеница;;;X
PROV386;Tuzla;Tuzla;Tuzla;Tuzla;Tuzla;Tuzla;;Сараево;;;X
PROV387;Mostar;Mostar;Mostar;Mostar;Mostar;Mostar;;Мостар;;;X
PROV388;Dubrovnik;Dubrovnik;Dubrovnik;Dubrovnik;Dubrovnik;Dubrovnik;;Дубровник;;;X
PROV389;Cetinje;Cetinje;Cetinje;Cetinje;Cetinje;Cetinje;;Подгорица;;;X
PROV390;Tiranл;Tiranл;Tiranл;Tiranл;Tiranл;Tiranл;;Тирана;;;X
PROV391;Vlorл;Vlorл;Vlorл;Vlorл;Vlorл;Vlorл;;Влёра;;;X
PROV392;Ioannina;Ioannina;Ioannina;Ioannina;Ioannina;Ioannina;;Янина;;;X
PROV393;Kerkyra;Kerkyra;Kerkyra;Kerkyra;Kerkyra;Kerkyra;;Кефалиния;;;X
PROV394;Patra;Patra;Patra;Patra;Patra;Patra;;Патры;;;X
PROV395;Korinthos;Korinthos;Korinthos;Korinthos;Korinthos;Korinthos;;Коринф;;;X
PROV396;Irakleio;Irakleio;Irakleio;Irakleio;Irakleio;Irakleio;;Крит;;;X
PROV397;Sea of Marmara;Sea of Marmara;Sea of Marmara;Sea of Marmara;Sea of Marmara;Sea of Marmara;;Мраморное море;;;X
PROV398;Kalymnos;Kalymnos;Kalymnos;Kalymnos;Kalymnos;Kalymnos;;Додеканес;;;X
PROV399;Rodos;Rodos;Rodos;Rodos;Rodos;Rodos;;Родос;;;X
PROV400;Halkida;Halkida;Halkida;Halkida;Halkida;Halkida;;Киклады;;;X
PROV401;Athina;Athina;Athina;Athina;Athina;Athina;;Афины;;;X
PROV402;Larissa;Larissa;Larissa;Larissa;Larissa;Larissa;;Агринио;;;X
PROV403;Lamia;Lamia;Lamia;Lamia;Lamia;Lamia;;Ларисса;;;X
PROV404;Hayfa;Hayfa;Hayfa;Hayfa;Hayfa;Hayfa;;Хайфа;;;X
PROV405;Mytilini;Mytilini;Mytilini;Mytilini;Mytilini;Mytilini;;Дарданеллы;;;X
PROV406;Bi'r as-Saba';Bi'r as-Saba';Bi'r as-Saba';Bi'r as-Saba';Bi'r as-Saba';Bi'r as-Saba';;Эйлат;;;X
PROV407;Azraq;Azraq;Azraq;Azraq;Azraq;Azraq;;Ар-Рувайшид;;;X
PROV408;Bursa;Bursa;Bursa;Bursa;Bursa;Bursa;;Зanakkale;;;X
PROV409;Istanbul;Istanbul;Istanbul;Istanbul;Istanbul;Istanbul;;Стамбул;;;X
PROV410;Kavala;Kavala;Kavala;Kavala;Kavala;Kavala;;Кавала;;;X
PROV411;Kilkis;Kilkis;Kilkis;Kilkis;Kilkis;Kilkis;;Салоники;;;X
PROV412;Thessaloniki;Thessaloniki;Thessaloniki;Thessaloniki;Thessaloniki;Thessaloniki;;Эдесса;;;X
PROV413;Skoplje;Skoplje;Skoplje;Skoplje;Skoplje;Skoplje;;Скопье;;;X
PROV414;Stip;Stip;Stip;Stip;Stip;Stip;;Штип;;;X
PROV415;Pristina;Pristina;Pristina;Pristina;Pristina;Pristina;;Приштина;;;X
PROV416;Gorna Dzhumaya;Gorna Dzhumaya;Gorna Dzhumaya;Gorna Dzhumaya;Gorna Dzhumaya;Gorna Dzhumaya;;Горна-Джумая;;;X
PROV417;Sofia;Sofia;Sofia;Sofia;Sofia;Sofia;;София;;;X
PROV418;Gazimagusa;Gazimagusa;Gazimagusa;Gazimagusa;Gazimagusa;Gazimagusa;;Ниш;;;X
PROV419;Vraca;Vraca;Vraca;Vraca;Vraca;Vraca;;Враца;;;X
PROV420;Pleven;Pleven;Pleven;Pleven;Pleven;Pleven;;Плевна;;;X
PROV421;Plovdiv;Plovdiv;Plovdiv;Plovdiv;Plovdiv;Plovdiv;;Пловдив;;;X
PROV422;Burgas;Burgas;Burgas;Burgas;Burgas;Burgas;;Варна;;;X
PROV423;Bazargic;Bazargic;Bazargic;Bazargic;Bazargic;Bazargic;;Dobrich;;;X
PROV424;Bucuresti;Bucuresti;Bucuresti;Bucuresti;Bucuresti;Bucuresti;;Бухарест;;;X
PROV425;Giurgiu;Giurgiu;Giurgiu;Giurgiu;Giurgiu;Giurgiu;;Питешти;;;X
PROV426;Craiova;Craiova;Craiova;Craiova;Craiova;Craiova;;Крайова;;;X
PROV427;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;;Сибиу;;;X
PROV428;Cluj;Cluj;Cluj;Cluj;Cluj;Cluj;;Клуж;;;X
PROV429;Bacau;Bacau;Bacau;Bacau;Bacau;Bacau;;Bistrita;;;X
PROV430;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;;Брашов;;;X
PROV431;Ploesti;Ploesti;Ploesti;Ploesti;Ploesti;Ploesti;;Плоешти;;;X
PROV432;Braila;Braila;Braila;Braila;Braila;Braila;;Браила;;;X
PROV433;Iasi;Iasi;Iasi;Iasi;Iasi;Iasi;;Яссы;;;X
PROV434;Chisinau;Chisinau;Chisinau;Chisinau;Chisinau;Chisinau;;Кишинёв;;;X
PROV435;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;;Измаил;;;X
PROV436;Constanta;Constanta;Constanta;Constanta;Constanta;Constanta;;Constanta;;;X
PROV437;Denizli;Denizli;Denizli;Denizli;Denizli;Denizli;;Измир;;;X
PROV438;Antalya;Antalya;Antalya;Antalya;Antalya;Antalya;;Анталия;;;X
PROV439;Izmit;Izmit;Izmit;Izmit;Izmit;Izmit;;Измит;;;X
PROV440;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;;Kastamonu;;;X
PROV441;Karabьk;Karabьk;Karabьk;Karabьk;Karabьk;Karabьk;;Афьон-Карахисар;;;X
PROV442;Konya;Konya;Konya;Konya;Konya;Konya;;Кония;;;X
PROV443;Mersin;Mersin;Mersin;Mersin;Mersin;Mersin;;Мерсин;;;X
PROV444;Lefkosia;Lefkosia;Lefkosia;Lefkosia;Lefkosia;Lefkosia;;Кипр;;;X
PROV445;Adana;Adana;Adana;Adana;Adana;Adana;;Adana;;;X
PROV446;Kars;Kars;Kars;Kars;Kars;Kars;;Кайсери;;;X
PROV447;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;;Сивас;;;X
PROV448;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;;Анкара;;;X
PROV449;Samsun;Samsun;Samsun;Samsun;Samsun;Samsun;;Самсун;;;X
PROV450;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;;Трабзон;;;X
PROV451;Nis;Nis;Nis;Nis;Nis;Nis;;Novi Pazar;;;X
PROV452;Uzice;Uzice;Uzice;Uzice;Uzice;Uzice;;Ужице;;;X
PROV453;Beograd;Beograd;Beograd;Beograd;Beograd;Beograd;;Белград;;;X
PROV454;Osijek;Osijek;Osijek;Osijek;Osijek;Osijek;;Осиек;;;X
PROV455;Bjelovar;Bjelovar;Bjelovar;Bjelovar;Bjelovar;Bjelovar;;Беловар;;;X
PROV456;Pйcs;Pйcs;Pйcs;Pйcs;Pйcs;Pйcs;;Печ;;;X
PROV457;Budapest;Budapest;Budapest;Budapest;Budapest;Budapest;;Будапешт;;;X
PROV458;Szйkesfehйrvбr;Szйkesfehйrvбr;Szйkesfehйrvбr;Szйkesfehйrvбr;Szйkesfehйrvбr;Szйkesfehйrvбr;;Дьёр;;;X
PROV459;Maribor;Maribor;Maribor;Maribor;Maribor;Maribor;;Марибор;;;X
PROV460;Leoben;Leoben;Leoben;Leoben;Leoben;Leoben;;Грац;;;X
PROV461;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;;Клагенфурт;;;X
PROV462;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;;Зальцбург;;;X
PROV463;Wien;Wien;Wien;Wien;Wien;Wien;;Вена;;;X
PROV464;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;;Холабрунн;;;X
PROV465;Freistadt;Freistadt;Freistadt;Freistadt;Freistadt;Freistadt;;Линц;;;X
PROV466;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;;Domaћlice;;;X
PROV467;Znojmo;Znojmo;Znojmo;Znojmo;Znojmo;Znojmo;;Табор;;;X
PROV468;Hradec Krбlovй;Hradec Krбlovй;Hradec Krбlovй;Hradec Krбlovй;Hradec Krбlovй;Hradec Krбlovй;;Pardubice;;;X
PROV469;Praha;Praha;Praha;Praha;Praha;Praha;;Прага;;;X
PROV470;Plzen;Plzen;Plzen;Plzen;Plzen;Plzen;;Пльзень;;;X
PROV471;Liberec;Liberec;Liberec;Liberec;Liberec;Liberec;;Ъstн nad Labem;;;X
PROV472;Opava;Opava;Opava;Opava;Opava;Opava;;Либерец;;;X
PROV473;Breslau;Breslau;Breslau;Breslau;Breslau;Breslau;;Бреслау;;;X
PROV474;Ostrava;Ostrava;Ostrava;Ostrava;Ostrava;Ostrava;;Острава;;;X
PROV475;Brno;Brno;Brno;Brno;Brno;Brno;;Брно;;;X
PROV476;Bratislava;Bratislava;Bratislava;Bratislava;Bratislava;Bratislava;;Братислава;;;X
PROV477;Banskб Bystrica;Banskб Bystrica;Banskб Bystrica;Banskб Bystrica;Banskб Bystrica;Banskб Bystrica;;Банска-Бистрица;;;X
PROV478;Zilina;Zilina;Zilina;Zilina;Zilina;Zilina;;Жилина;;;X
PROV479;Krakуw;Krakуw;Krakуw;Krakуw;Krakуw;Krakуw;;Краков;;;X
PROV480;Czestochowa;Czestochowa;Czestochowa;Czestochowa;Czestochowa;Czкstochowa;;Кельце;;;X
PROV481;Lуdz;Lуdz;Lуdz;Lуdz;Lуdz;Јуdџ;;Ченстохова;;;X
PROV482;Oels;Oels;Oels;Oels;Oels;Oels;;Оппельн;;;X
PROV483;Poznan;Poznan;Poznan;Poznan;Poznan;Poznaс;;Лодзь;;;X
PROV484;Radom;Radom;Radom;Radom;Radom;Radom;;Радом;;;X
PROV485;Warszawa;Warszawa;Warszawa;Warszawa;Warszawa;Warszawa;;Варшава;;;X
PROV486;Katowice;Katowice;Katowice;Katowice;Katowice;Katowice;;Ломжа;;;X
PROV487;Lublin;Lublin;Lublin;Lublin;Lublin;Lublin;;Люблин;;;X
PROV488;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy Sacz;Nowy S№cz;;Замосць;;;X
PROV489;Rzeszow;Rzeszow;Rzeszow;Rzeszow;Rzeszow;Rzeszуw;;Пшемысль;;;X
PROV490;Kosice;Kosice;Kosice;Kosice;Kosice;Kosice;;Кошице;;;X
PROV491;Miskolc;Miskolc;Miskolc;Miskolc;Miskolc;Miskolc;;Мишкольц;;;X
PROV492;Szeged;Szeged;Szeged;Szeged;Szeged;Szeged;;Сегед;;;X
PROV493;Novi Sad;Novi Sad;Novi Sad;Novi Sad;Novi Sad;Novi Sad;;Нови-Сад;;;X
PROV494;Petrovgrad;Petrovgrad;Petrovgrad;Petrovgrad;Petrovgrad;Petrovgrad;;Зренянин;;;X
PROV495;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;;Тимишоара;;;X
PROV496;Arad;Arad;Arad;Arad;Arad;Arad;;Арад;;;X
PROV497;Debrecen;Debrecen;Debrecen;Debrecen;Debrecen;Debrecen;;Дебрецен;;;X
PROV498;Oradea;Oradea;Oradea;Oradea;Oradea;Oradea;;Baia Mare;;;X
PROV499;Chust;Chust;Chust;Chust;Chust;Chust;;Uzhorod;;;X
PROV500;Stryj;Stryj;Stryj;Stryj;Stryj;Stryj;;Стрый;;;X
PROV501;Lwуw;Lwуw;Lwуw;Lwуw;Lwуw;Lwуw;;Львов;;;X
PROV502;Rуwne;Rуwne;Rуwne;Rуwne;Rуwne;Rуwne;;Тарнополь;;;X
PROV503;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brzesc Litewski;Brzeњж Litewski;;Пинск;;;X
PROV504;Biala Podlaska;Biala Podlaska;Biala Podlaska;Biala Podlaska;Biala Podlaska;Biaіa Podlaska;;Брест-Литовск;;;X
PROV505;Bialystok;Bialystok;Bialystok;Bialystok;Bialystok;Biaіystok;;Bielsk Podlaski;;;X
PROV506;Luck;Luck;Luck;Luck;Luck;Јuck;;Ковель;;;X
PROV507;Stanislawуw;Stanislawуw;Stanislawуw;Stanislawуw;Stanislawуw;Stanisіawуw;;Слоним;;;X
PROV508;Ostroleka;Ostroleka;Ostroleka;Ostroleka;Ostroleka;Ostroікka;;Белосток;;;X
PROV509;Suwalki;Suwalki;Suwalki;Suwalki;Suwalki;Suwaіki;;Сувалки;;;X
PROV510;Kцnigsberg;Kцnigsberg;Kцnigsberg;Kцnigsberg;Kцnigsberg;Kцnigsberg;;Кёнигсберг;;;X
PROV511;Alytus;Alytus;Alytus;Alytus;Alytus;Alytus;;Алитус;;;X
PROV512;Bologna;Bologna;Bologna;Bologna;Bologna;Bologna;;Болонья;;;X
PROV513;Firenze;Firenze;Firenze;Firenze;Firenze;Firenze;;Флоренция;;;X
PROV514;Ancona;Ancona;Ancona;Ancona;Ancona;Ancona;;Римини;;;X
PROV515;Roma;Roma;Roma;Roma;Roma;Roma;;Рим;;;X
PROV516;Perugia;Perugia;Perugia;Perugia;Perugia;Perugia;;Перуджа;;;X
PROV517;Pescara;Pescara;Pescara;Pescara;Pescara;Pescara;;Пескара;;;X
PROV518;L'Aquila;L'Aquila;L'Aquila;L'Aquila;L'Aquila;L'Aquila;;Кассино;;;X
PROV519;Latina;Latina;Latina;Latina;Latina;Latina;;Анцио;;;X
PROV520;Foggia;Foggia;Foggia;Foggia;Foggia;Foggia;;Фоджа;;;X
PROV521;Napoli;Napoli;Napoli;Napoli;Napoli;Napoli;;Неаполь;;;X
PROV522;Campobasso;Campobasso;Campobasso;Campobasso;Campobasso;Campobasso;;Потенца;;;X
PROV523;Taranto;Taranto;Taranto;Taranto;Taranto;Taranto;;Таранто;;;X
PROV524;Reggio Calabria;Reggio Calabria;Reggio Calabria;Reggio Calabria;Reggio Calabria;Reggio Calabria;;Реджио-ди-Калабрия;;;X
PROV525;Palermo;Palermo;Palermo;Palermo;Palermo;Palermo;;Палермо;;;X
PROV526;Messina;Messina;Messina;Messina;Messina;Messina;;Катанья;;;X
PROV527;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;;Гренобль;;;X
PROV528;Avignon;Avignon;Avignon;Avignon;Avignon;Avignon;;Лион;;;X
